电影名称	评分	评价数量	
﻿肖申克的救赎	9.6	968503人	
霸王别姬	9.5	702861人	
这个杀手不太冷	9.4	915703人	
阿甘正传	9.4	778607人	
美丽人生	9.5	455202人	
千与千寻	9.2	728182人	
泰坦尼克号	9.2	718764人	
辛德勒的名单	9.4	415550人	
盗梦空间	9.3	822260人	
机器人总动员	9.3	539037人	
海上钢琴师	9.2	637352人	
三傻大闹宝莱坞	9.2	734778人	
忠犬八公的故事	9.2	503671人	
放牛班的春天	9.2	492208人	
大话西游之大圣娶亲	9.2	535701人	
教父	9.2	371019人	
龙猫	9.1	454371人	
楚门的世界	9.1	504118人	
乱世佳人	9.2	289871人	
熔炉	9.2	292687人	
触不可及	9.1	397869人	
星际穿越	9.2	531119人	
无间道	9.0	437475人	
当幸福来敲门	8.9	582755人	
天堂电影院	9.1	328790人	
﻿怦然心动	8.9	602483人	
十二怒汉	9.4	184211人	
搏击俱乐部	9.0	424090人	
少年派的奇幻漂流	9.0	619150人	
指环王3：王者无敌	9.1	304365人	
鬼子来了	9.2	249142人	
蝙蝠侠：黑暗骑士	9.0	350340人	
活着	9.1	292883人	
天空之城	9.0	356691人	
罗马假日	8.9	412210人	
大话西游之月光宝盒	8.9	431939人	
飞屋环游记	8.9	534264人	
两杆大烟枪	9.1	288713人	
窃听风暴	9.1	239644人	
飞越疯人院	9.0	292604人	
疯狂动物城	9.2	550713人	
控方证人	9.6	102568人	
闻香识女人	8.9	344651人	
海豚湾	9.3	191002人	
哈尔的移动城堡	8.9	377113人	
V字仇杀队	8.8	446560人	
辩护人	9.1	224487人	
教父2	9.1	199959人	
死亡诗社	8.9	297435人	
美丽心灵	8.9	322858人	
﻿指环王2：双塔奇兵	9.0	286735人	
指环王1：魔戒再现	8.9	320682人	
情书	8.8	398078人	
饮食男女	9.1	213481人	
美国往事	9.1	185367人	
天使爱美丽	8.7	506177人	
狮子王	8.9	298828人	
钢琴家	9.0	213590人	
七宗罪	8.7	456355人	
被嫌弃的松子的一生	8.9	306803人	
小鞋子	9.2	147179人	
致命魔术	8.8	363127人	
素媛	9.1	195142人	
勇敢的心	8.8	307625人	
音乐之声	8.9	243834人	
剪刀手爱德华	8.7	508561人	
本杰明·巴顿奇事	8.7	413198人	
低俗小说	8.8	352608人	
