电影名称	评分	评价数量	
﻿肖申克的救赎	9.6	1095908人	
霸王别姬	9.5	800084人	
这个杀手不太冷	9.4	1018105人	
阿甘正传	9.4	867802人	
美丽人生	9.5	507106人	
泰坦尼克号	9.3	806895人	
千与千寻	9.3	808188人	
辛德勒的名单	9.4	459062人	
盗梦空间	9.3	897890人	
机器人总动员	9.3	590860人	
三傻大闹宝莱坞	9.2	806438人	
忠犬八公的故事	9.3	567210人	
海上钢琴师	9.2	683792人	
放牛班的春天	9.2	545300人	
大话西游之大圣娶亲	9.2	598751人	
楚门的世界	9.1	573713人	
教父	9.2	406316人	
龙猫	9.1	500059人	
星际穿越	9.2	596914人	
熔炉	9.2	331522人	
触不可及	9.2	437770人	
无间道	9.1	487352人	
乱世佳人	9.2	313432人	
当幸福来敲门	8.9	642703人	
怦然心动	8.9	681517人	
﻿天堂电影院	9.1	349563人	
十二怒汉	9.4	200327人	
鬼子来了	9.2	278127人	
蝙蝠侠：黑暗骑士	9.1	393350人	
疯狂动物城	9.1	634589人	
少年派的奇幻漂流	9.0	672087人	
活着	9.1	327048人	
搏击俱乐部	9.0	448519人	
指环王3：王者无敌	9.1	330400人	
天空之城	9.0	387874人	
大话西游之月光宝盒	8.9	481775人	
飞屋环游记	8.9	584662人	
罗马假日	8.9	447275人	
控方证人	9.6	125013人	
窃听风暴	9.1	262998人	
两杆大烟枪	9.1	308473人	
飞越疯人院	9.0	312430人	
闻香识女人	8.9	377952人	
哈尔的移动城堡	8.9	415783人	
辩护人	9.2	256234人	
海豚湾	9.3	204328人	
V字仇杀队	8.8	489803人	
死亡诗社	9.0	325453人	
摔跤吧！爸爸	9.1	565176人	
教父2	9.1	219117人	
﻿指环王2：双塔奇兵	9.0	310242人	
美丽心灵	8.9	349236人	
指环王1：魔戒再现	8.9	347408人	
饮食男女	9.1	237606人	
情书	8.8	429076人	
美国往事	9.1	200024人	
狮子王	8.9	325185人	
素媛	9.1	220210人	
钢琴家	9.0	230028人	
小鞋子	9.2	163285人	
七宗罪	8.7	486459人	
天使爱美丽	8.7	540345人	
被嫌弃的松子的一生	8.9	340052人	
致命魔术	8.8	393186人	
本杰明·巴顿奇事	8.8	445989人	
音乐之声	8.9	262645人	
西西里的美丽传说	8.8	409217人	
勇敢的心	8.8	326119人	
拯救大兵瑞恩	8.9	276723人	
黑客帝国	8.8	323252人	
低俗小说	8.8	383197人	
剪刀手爱德华	8.7	546149人	
让子弹飞	8.7	721676人	
看不见的客人	8.7	417744人	
沉默的羔羊	8.7	398778人	
﻿蝴蝶效应	8.7	433093人	
入殓师	8.8	348243人	
大闹天宫	9.3	120626人	
春光乍泄	8.8	283981人	
末代皇帝	9.0	205563人	
心灵捕手	8.8	310903人	
玛丽和马克思	8.9	251891人	
阳光灿烂的日子	8.8	309711人	
哈利·波特与魔法石	8.8	307191人	
布达佩斯大饭店	8.8	369288人	
幽灵公主	8.8	264908人	
第六感	8.8	263833人	
禁闭岛	8.7	410197人	
重庆森林	8.7	376862人	
猫鼠游戏	8.8	270119人	
狩猎	9.0	151654人	
致命ID	8.7	361129人	
大鱼	8.7	283315人	
断背山	8.7	360348人	
甜蜜蜜	8.8	257266人	
射雕英雄传之东成西就	8.7	309174人	
告白	8.7	383116人	
一一	8.9	173758人	
加勒比海盗	8.6	392899人	
穿条纹睡衣的男孩	8.9	175146人	
﻿阳光姐妹淘	8.8	302401人	
摩登时代	9.2	103921人	
阿凡达	8.6	592627人	
上帝之城	8.9	172036人	
爱在黎明破晓前	8.7	249784人	
消失的爱人	8.7	405473人	
风之谷	8.8	197071人	
爱在日落黄昏时	8.8	222049人	
侧耳倾听	8.8	192346人	
超脱	8.8	197814人	
倩女幽魂	8.6	292470人	
恐怖直播	8.7	257878人	
红辣椒	8.9	154907人	
小森林 夏秋篇	8.9	157056人	
喜剧之王	8.6	363054人	
菊次郎的夏天	8.7	209474人	
驯龙高手	8.7	320454人	
幸福终点站	8.7	249574人	
萤火虫之墓	8.7	225508人	
借东西的小人阿莉埃蒂	8.7	242533人	
岁月神偷	8.6	334186人	
神偷奶爸	8.5	428328人	
七武士	9.2	86598人	
杀人回忆	8.7	232229人	
贫民窟的百万富翁	8.5	427574人	
﻿电锯惊魂	8.7	218675人	
喜宴	8.8	156485人	
谍影重重3	8.7	199198人	
真爱至上	8.5	343395人	
怪兽电力公司	8.6	272275人	
东邪西毒	8.6	280154人	
记忆碎片	8.5	307189人	
海洋	9.0	104857人	
黑天鹅	8.5	457251人	
雨人	8.6	226642人	
疯狂原始人	8.7	407886人	
卢旺达饭店	8.9	133505人	
小森林 冬春篇	8.9	136071人	
英雄本色	8.6	192183人	
哈利·波特与死亡圣器(下)	8.7	304792人	
燃情岁月	8.7	159041人	
7号房的礼物	8.7	200407人	
虎口脱险	8.9	116199人	
心迷宫	8.6	204039人	
萤火之森	8.8	180439人	
傲慢与偏见	8.5	336358人	
荒蛮故事	8.8	163085人	
海边的曼彻斯特	8.6	224227人	
请以你的名字呼唤我	8.8	203958人	
教父3	8.8	146258人	
﻿恋恋笔记本	8.5	313721人	
完美的世界	9.0	91294人	
纵横四海	8.7	165839人	
花样年华	8.5	272399人	
唐伯虎点秋香	8.4	377344人	
超能陆战队	8.6	415598人	
玩具总动员3	8.8	210337人	
蝙蝠侠：黑暗骑士崛起	8.6	324219人	
时空恋旅人	8.6	227883人	
魂断蓝桥	8.8	140128人	
猜火车	8.5	267240人	
穿越时空的少女	8.6	201859人	
雨中曲	9.0	101008人	
二十二	8.7	117655人	
达拉斯买家俱乐部	8.7	203333人	
我是山姆	8.8	116064人	
人工智能	8.6	208553人	
冰川时代	8.5	299186人	
浪潮	8.7	144936人	
朗读者	8.5	296382人	
爆裂鼓手	8.6	262370人	
香水	8.4	300933人	
罗生门	8.7	138919人	
未麻的部屋	8.8	110694人	
阿飞正传	8.5	228998人	
﻿血战钢锯岭	8.7	356345人	
